,Currency,Timestamp,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),trade-volume_x,miners-revenue_x,cost-per-transaction_x,n-unique-addresses_x,difficulty_x,market-cap_x,n-transactions-total_x,total-bitcoins_x,transaction-fees_x,output-volume_x,utxo-count_x,estimated-transaction-volume_x,n-transactions_x,market-price_x,n-payments_x,my-wallet-n-users_x,n-transactions-excluding-popular_x,blocks-size_x,trade-volume_y,miners-revenue_y,cost-per-transaction_y,n-unique-addresses_y,difficulty_y,market-cap_y,n-transactions-total_y,total-bitcoins_y,transaction-fees_y,output-volume_y,utxo-count_y,estimated-transaction-volume_y,n-transactions_y,market-price_y,n-payments_y,my-wallet-n-users_y,n-transactions-excluding-popular_y,blocks-size_y,blocks-size
78,BTC,2013-12-18,654.0626599999999,653.80483,757.02366,647.6220900000001,,,,,,,,,,,,419303.40292142,,,,,,,,,,,,,,,,,,419303.40292142,,,,,,,
79,BTC,2013-12-19,553.69166,654.0626599999999,654.0626599999999,422.49699999999996,,3193166.8062495,43.38895570630079,,,,29498725.0,,16.48965383,,,,70278.0,,,,,13666.982275999999,,3193166.8062495,43.38895570630079,,,,29498725.0,,16.48965383,,,,70278.0,,,,,13666.982275999999,13666.982275999999
80,BTC,2013-12-20,693.05883,553.69166,710.3255,545.5396599999999,38897908.973000005,,,118892.0,908350862.4370221,,,,,940326.307876396,,,,685.3,,,65083.0,,38897908.973000005,,,118892.0,908350862.4370221,,,,,940326.307876396,,,,685.3,,,65083.0,,
81,BTC,2013-12-21,649.38965,693.05883,733.2366599999999,598.0613099999999,,,,,,,,,,,,290506.67801432,,,,,,,,,,,,,,,,,,290506.67801432,,,,,,,
82,BTC,2013-12-22,595.95883,649.38965,651.8435,580.72816,,2751604.73688907,50.5363785058969,,,,29690651.0,,11.46529505,,,,52897.0,,,,,13761.259852000001,,2751604.73688907,50.5363785058969,,,,29690651.0,,11.46529505,,,,52897.0,,,,,13761.259852000001,13761.259852000001
83,BTC,2013-12-23,647.6831599999999,595.95883,671.5916599999999,594.36595,10855499.648,,,132256.0,1180923195.2580302,,,,,722235.193791413,,,,614.11,,,54267.0,,10855499.648,,,132256.0,1180923195.2580302,,,,,722235.193791413,,,,614.11,,,54267.0,,
84,BTC,2013-12-24,671.58116,647.6831599999999,685.3675,632.5431,,,,,,,,,,,,311308.44873196,,,,,,,,,,,,,,,,,,311308.44873196,,,,,,,
85,BTC,2013-12-25,659.84333,671.58116,675.6139999999999,645.78333,,2685430.98770231,47.9661163094757,,,,29853500.0,,12.31784641,,,,55428.0,,,,,13845.742422,,2685430.98770231,47.9661163094757,,,,29853500.0,,12.31784641,,,,55428.0,,,,,13845.742422,13845.742422
86,BTC,2013-12-26,702.00083,659.84333,720.22498,651.53,4517004.0048,,,106343.0,1180923195.2580302,,,,,620433.483584879,,,,679.02,,,51276.0,,4517004.0048,,,106343.0,1180923195.2580302,,,,,620433.483584879,,,,679.02,,,51276.0,,
87,BTC,2013-12-27,758.0101599999999,702.00083,780.93666,698.07,,,,,,,,,,,,114471.49253113,,,,,,,,,,,,,,,,,,114471.49253113,,,,,,,
88,BTC,2013-12-28,734.01166,758.0101599999999,772.90666,723.9866599999999,,3158649.96806958,59.31514249360729,,,,30013037.0,,11.65867105,,,,48009.0,,,,,13931.150725,,3158649.96806958,59.31514249360729,,,,30013037.0,,11.65867105,,,,48009.0,,,,,13931.150725,13931.150725
89,BTC,2013-12-29,717.92623,734.01166,753.8333299999999,705.1025,9571647.8,,,94132.0,1180923195.2580302,,,,,837535.4318255909,,,,715.0,,,51325.0,,9571647.8,,,94132.0,1180923195.2580302,,,,,837535.4318255909,,,,715.0,,,51325.0,,
90,BTC,2013-12-30,752.8202200000001,717.92623,759.6362,713.7510000000001,,,,,,,,,,,,117471.67460869,,,,,,,,,,,,,,,,,,117471.67460869,,,,,,,
91,BTC,2013-12-31,744.17249,752.8202200000001,763.83,743.7,,3691241.37928677,70.305342157339,,,,30167590.0,,10.98600975,,,,48847.0,,,,,14017.482583,,3691241.37928677,70.305342157339,,,,30167590.0,,10.98600975,,,,48847.0,,,,,14017.482583,14017.482583
92,BTC,2014-01-01,768.40783,744.17249,772.959,733.19433,5801531.88,,,85153.0,1180923195.2580302,,,,,538983.292084046,,,,732.0,,,43070.0,,5801531.88,,,85153.0,1180923195.2580302,,,,,538983.292084046,,,,732.0,,,43070.0,,
93,BTC,2014-01-02,769.0984900000001,768.40783,774.26333,750.5251599999999,,,,,,,,,,,,115190.89196719999,,,,976051.0,,,,,,,,,,,,,,115190.89196719999,,,,976051.0,,,
94,BTC,2014-01-03,804.02719,769.0984900000001,826.3416599999999,768.15367,,3468549.23939752,52.7335498198026,,,,30313980.0,,13.81938881,,,,60980.0,,,,,14093.986991,,3468549.23939752,52.7335498198026,,,,30313980.0,,13.81938881,,,,60980.0,,,,,14093.986991,14093.986991
95,BTC,2014-01-04,813.3174799999999,804.02719,839.85833,798.11833,11996329.8024,,,99666.0,1418481395.26264,,,,,635106.075576587,,,,807.39,,,52052.0,,11996329.8024,,,99666.0,1418481395.26264,,,,,635106.075576587,,,,807.39,,,52052.0,,
96,BTC,2014-01-05,871.1158300000001,813.3174799999999,873.98,808.7166599999999,,,,,,,,,,,,208434.86592725,,,,,,,,,,,,,,,,,,208434.86592725,,,,,,,
97,BTC,2014-01-06,970.65083,871.1158300000001,972.00354,861.2583099999999,,4914913.51245672,65.8817928803078,,,,30486098.0,,29.50823266,,,,67358.0,,,,,14184.012024000001,,4914913.51245672,65.8817928803078,,,,30486098.0,,29.50823266,,,,67358.0,,,,,14184.012024000001,14184.012024000001
98,BTC,2014-01-07,962.4644699999999,970.65083,1023.16666,914.76666,23700401.3664,,,121168.0,1418481395.26264,,,,,924867.933328937,,,,915.69,,,62911.0,,23700401.3664,,,121168.0,1418481395.26264,,,,,924867.933328937,,,,915.69,,,62911.0,,
99,BTC,2014-01-08,855.7593300000001,962.4644699999999,970.22516,788.70166,,,,,,,,,,,,142522.55816887,,,,,,,,,,,,,,,,,,142522.55816887,,,,,,,
100,BTC,2014-01-09,860.8416599999999,855.7593300000001,886.0291599999999,822.32296,,4930974.51361224,74.77744857014109,,,,30677910.0,,12.80728921,,,,59031.0,,,,,14283.567035,,4930974.51361224,74.77744857014109,,,,30677910.0,,12.80728921,,,,59031.0,,,,,14283.567035,14283.567035
101,BTC,2014-01-10,847.5325,860.8416599999999,880.64166,814.1705400000001,20915435.5956,,,108863.0,1418481395.26264,,,,,569351.609494795,,,,826.28,,,54166.0,,20915435.5956,,,108863.0,1418481395.26264,,,,,569351.609494795,,,,826.28,,,54166.0,,
102,BTC,2014-01-11,892.26115,847.5325,902.035,837.57458,,,,,,,,,,,,117326.66862301,,,,,,,,,,,,,,,,,,117326.66862301,,,,,,,
103,BTC,2014-01-12,916.69666,892.26115,940.495,876.57666,,5090195.2246953,95.7865908563125,,,,30847437.0,,11.79779395,,,,50537.0,,,,,14370.037072,,5090195.2246953,95.7865908563125,,,,30847437.0,,11.79779395,,,,50537.0,,,,,14370.037072,14370.037072
104,BTC,2014-01-13,873.2716800000001,916.69666,920.7173300000001,857.73833,10317975.4204,,,133710.0,1789546951.0532398,,,,,529745.657167659,,,,844.04,,,53461.0,,10317975.4204,,,133710.0,1789546951.0532398,,,,,529745.657167659,,,,844.04,,,53461.0,,
105,BTC,2014-01-14,863.69888,873.2716800000001,873.2716800000001,821.00333,,,,,,,,,,,,127923.49932949,,,,,,,,,,,,,,,,,,127923.49932949,,,,,,,
106,BTC,2014-01-15,853.25666,863.69888,871.11385,839.125,,4217005.9545048,64.37882164946339,,,,31008284.0,,16.85023545,,,,61612.0,,,,,14452.327634000001,,4217005.9545048,64.37882164946339,,,,31008284.0,,16.85023545,,,,61612.0,,,,,14452.327634000001,14452.327634000001
107,BTC,2014-01-16,874.07416,853.25666,888.8851900000001,853.25666,10334044.1127,,,108455.0,1789546951.0532398,,,,,605276.848189111,,,,841.83,,,56703.0,,10334044.1127,,,108455.0,1789546951.0532398,,,,,605276.848189111,,,,841.83,,,56703.0,,
108,BTC,2014-01-17,842.1917300000001,874.07416,879.62999,841.2791599999999,,,,,,,,,,,,88969.53780863,,,,,,,,,,,,,,,,,,88969.53780863,,,,,,,
109,BTC,2014-01-18,834.8666599999999,842.1917300000001,854.32827,810.22333,,3693311.7459084,68.463125086353,,,,31185351.0,,12.72316648,,,,51573.0,,,,,14540.463744,,3693311.7459084,68.463125086353,,,,31185351.0,,12.72316648,,,,51573.0,,,,,14540.463744,14540.463744
110,BTC,2014-01-19,838.4291599999999,834.8666599999999,850.56666,834.0833299999999,4483770.096,,,95238.0,1789546951.0532398,,,,,567071.287808722,,,,811.2,,1081937.0,48005.0,,4483770.096,,,95238.0,1789546951.0532398,,,,,567071.287808722,,,,811.2,,1081937.0,48005.0,,
111,BTC,2014-01-20,881.8758300000001,838.4291599999999,885.16166,834.77499,,,,,,,,,,,,116833.86104165,,,,,,,,,,,,,,,,,,116833.86104165,,,,,,,
112,BTC,2014-01-21,873.2891599999999,881.8758300000001,882.45166,857.8458400000001,,3904490.2341147996,49.9180525469176,,,,31348239.0,,15.599074599999998,,,,72577.0,,,,,14625.772216,,3904490.2341147996,49.9180525469176,,,,31348239.0,,15.599074599999998,,,,72577.0,,,,,14625.772216,14625.772216
113,BTC,2014-01-22,874.13266,873.2891599999999,876.14065,861.7783300000001,6349164.6878,,,132174.0,1789546951.0532398,,,,,493075.896373011,,,,824.78,,,65835.0,,6349164.6878,,,132174.0,1789546951.0532398,,,,,493075.896373011,,,,824.78,,,65835.0,,
114,BTC,2014-01-23,864.56116,874.13266,874.13266,854.0591599999999,,,,,,,,,,,,120091.13367078,,,,,,,,,,,,,,,,,,120091.13367078,,,,,,,
