Timestamp,estimated-transaction-volume
2013-04-07 00:00:00,187977.35510788
2013-04-10 00:00:00,599597.42926739
2013-04-13 00:00:00,229680.06339719
2013-04-16 00:00:00,541816.07618154
2013-04-19 00:00:00,242081.97112999
2013-04-22 00:00:00,175413.60133714
2013-04-25 00:00:00,296822.19753834
2013-04-28 00:00:00,139728.3078556
2013-05-01 00:00:00,300303.33819368
2013-05-04 00:00:00,193792.07803444
2013-05-07 00:00:00,442980.96673336
2013-05-10 00:00:00,222930.38010619
2013-05-13 00:00:00,327712.69841072
2013-05-16 00:00:00,232016.6334199
2013-05-19 00:00:00,134703.50185931
2013-05-22 00:00:00,162032.18684446
2013-05-25 00:00:00,209317.97118009
2013-05-28 00:00:00,200434.22241132
2013-05-31 00:00:00,137619.3193303
2013-06-03 00:00:00,280301.45792514
2013-06-06 00:00:00,210361.8794805
2013-06-09 00:00:00,261561.30698087
2013-06-12 00:00:00,188996.99590813
2013-06-15 00:00:00,128115.81741138
2013-06-18 00:00:00,174806.3963832
2013-06-21 00:00:00,199999.46183073
2013-06-24 00:00:00,186333.83303843
2013-06-27 00:00:00,150970.88620506
2013-06-30 00:00:00,121468.75906537
2013-07-03 00:00:00,306127.70946779
2013-07-06 00:00:00,222445.04785201
2013-07-09 00:00:00,384472.99759006
2013-07-12 00:00:00,285190.20802277
2013-07-15 00:00:00,176573.74396705
2013-07-18 00:00:00,461153.927733
2013-07-21 00:00:00,162629.26352687
2013-07-24 00:00:00,238691.68524624
2013-07-27 00:00:00,126279.86444218
2013-07-30 00:00:00,226120.61010563
2013-08-02 00:00:00,191438.45372861
2013-08-05 00:00:00,233397.67775484
2013-08-08 00:00:00,186468.23288162
2013-08-11 00:00:00,132236.87512682
2013-08-14 00:00:00,246293.69830471
2013-08-17 00:00:00,117737.82746555
2013-08-20 00:00:00,274075.92187721
2013-08-23 00:00:00,177650.06223173
2013-08-26 00:00:00,183303.90503858
2013-08-29 00:00:00,235451.5952152
2013-09-01 00:00:00,155456.69958089
2013-09-04 00:00:00,187712.26610559
2013-09-07 00:00:00,112734.13141318
2013-09-10 00:00:00,141375.02558809
2013-09-13 00:00:00,140562.84813722
2013-09-16 00:00:00,164808.13774379
2013-09-19 00:00:00,243304.41580634
2013-09-22 00:00:00,134300.56862526
2013-09-25 00:00:00,212332.65283138
2013-09-28 00:00:00,132613.90321462
2013-10-01 00:00:00,312776.674611709
2013-10-04 00:00:00,178981.20346372
2013-10-07 00:00:00,208370.2161457
2013-10-10 00:00:00,159154.91119424
2013-10-13 00:00:00,163176.82893155
2013-10-16 00:00:00,272980.71559021
2013-10-19 00:00:00,211838.31188994
2013-10-22 00:00:00,402004.16996896
2013-10-25 00:00:00,381725.79260355
2013-10-28 00:00:00,129289.97841328
2013-10-31 00:00:00,163795.12143566
2013-11-03 00:00:00,138504.465146
2013-11-05 23:00:00,228992.44527013
2013-11-08 23:00:00,274724.49234822
2013-11-11 23:00:00,246740.69432283
2013-11-14 23:00:00,264911.78304871
2013-11-17 23:00:00,368335.88987034
2013-11-20 23:00:00,284416.66939685
2013-11-23 23:00:00,226552.91499702
2013-11-26 23:00:00,350641.67013074
2013-11-29 23:00:00,200329.22413758
2013-12-02 23:00:00,206792.74130511
2013-12-05 23:00:00,274820.60103389
2013-12-08 23:00:00,148591.35326738
2013-12-11 23:00:00,112240.12961845
2013-12-14 23:00:00,104402.44204455
2013-12-17 23:00:00,419303.40292142
2013-12-20 23:00:00,290506.67801432
2013-12-23 23:00:00,311308.44873196
2013-12-26 23:00:00,114471.49253113
2013-12-29 23:00:00,117471.67460869
2014-01-01 23:00:00,115190.8919672
2014-01-04 23:00:00,208434.86592725
2014-01-07 23:00:00,142522.55816887
2014-01-10 23:00:00,117326.66862301
2014-01-13 23:00:00,127923.49932949
2014-01-16 23:00:00,88969.53780863
2014-01-19 23:00:00,116833.86104165
2014-01-22 23:00:00,120091.13367078
2014-01-25 23:00:00,97982.72188318
2014-01-28 23:00:00,74777.9759026399
2014-01-31 23:00:00,74608.29923011
2014-02-03 23:00:00,128530.7749598
2014-02-06 23:00:00,157383.64144473
2014-02-09 23:00:00,157099.15127061
2014-02-12 23:00:00,107819.62409298
2014-02-15 23:00:00,123891.89773319
2014-02-18 23:00:00,96489.5760562501
2014-02-21 23:00:00,99137.3940842001
2014-02-24 23:00:00,317849.39002857
2014-02-27 23:00:00,173040.82069797
2014-03-02 23:00:00,206507.97373434
2014-03-05 23:00:00,128912.26581491
2014-03-08 23:00:00,400791.12912527
2014-03-12 00:00:00,386915.41431322
2014-03-15 00:00:00,206476.29095393
2014-03-18 00:00:00,104327.69073806
2014-03-21 00:00:00,140708.30449951
2014-03-24 00:00:00,107583.36394267
2014-03-27 00:00:00,197774.53770178
2014-03-30 00:00:00,107435.50912975
2014-04-02 00:00:00,171229.6364548
2014-04-05 00:00:00,139680.8391657
2014-04-08 00:00:00,118193.49206641
2014-04-11 00:00:00,189792.19330236
2014-04-14 00:00:00,128481.24100778
2014-04-17 00:00:00,129836.08770382
2014-04-20 00:00:00,75667.02566288
2014-04-23 00:00:00,145143.83210425
2014-04-26 00:00:00,74417.0924900999
2014-04-29 00:00:00,137376.6770322
2014-05-02 00:00:00,103501.56921883
2014-05-05 00:00:00,80913.85311907
2014-05-08 00:00:00,98389.8395208301
2014-05-11 00:00:00,57738.57654414
2014-05-14 00:00:00,131677.77281357
2014-05-17 00:00:00,55678.25096352
2014-05-20 00:00:00,159248.8608272
2014-05-23 00:00:00,139186.0403562
2014-05-26 00:00:00,115036.28698538
2014-05-29 00:00:00,81077.5308734399
2014-06-01 00:00:00,113343.06194779
2014-06-04 00:00:00,117537.12205406
2014-06-07 00:00:00,63163.51378592
2014-06-10 00:00:00,166601.58810253
2014-06-13 00:00:00,111871.27740267
2014-06-16 00:00:00,106229.28060928
2014-06-19 00:00:00,88438.93006766
2014-06-22 00:00:00,60118.73247464
2014-06-25 00:00:00,110079.65037256
2014-06-28 00:00:00,61211.35954065
2014-07-01 00:00:00,164953.23751804
2014-07-04 00:00:00,72056.88757711
2014-07-07 00:00:00,98106.84521473
2014-07-10 00:00:00,100164.57212886
2014-07-13 00:00:00,73150.1282869101
2014-07-16 00:00:00,112557.96867905
2014-07-19 00:00:00,90879.1943141001
2014-07-22 00:00:00,89012.6897304
2014-07-25 00:00:00,76528.14729764
2014-07-28 00:00:00,94533.5479947199
2014-07-31 00:00:00,93430.9315896501
2014-08-03 00:00:00,55835.12578819
2014-08-06 00:00:00,117425.15181797
2014-08-09 00:00:00,101546.45140336
2014-08-12 00:00:00,120688.85874127
2014-08-15 00:00:00,151042.6072671
2014-08-18 00:00:00,202217.23343131
2014-08-21 00:00:00,162912.19967594
2014-08-24 00:00:00,58670.45101744
2014-08-27 00:00:00,131845.09835685
2014-08-30 00:00:00,62606.4294625
2014-09-02 00:00:00,134935.01128931
2014-09-05 00:00:00,109047.16006409
2014-09-08 00:00:00,113673.13581499
2014-09-11 00:00:00,116730.56522168
2014-09-14 00:00:00,85596.3659704201
2014-09-17 00:00:00,123190.68034063
2014-09-20 00:00:00,176331.45719682
2014-09-23 00:00:00,157508.84265945
2014-09-26 00:00:00,119788.88724027
2014-09-29 00:00:00,178914.94096046
2014-10-02 00:00:00,126935.8178367
2014-10-05 00:00:00,281608.0516742
2014-10-08 00:00:00,206566.92188163
2014-10-11 00:00:00,159363.41821938
2014-10-14 00:00:00,231694.36487965
2014-10-17 00:00:00,149230.53073801
2014-10-20 00:00:00,135638.0351804
2014-10-23 00:00:00,157319.32834477
2014-10-26 00:00:00,98381.38950736
2014-10-29 00:00:00,165000.80790139
2014-11-01 00:00:00,113723.65639812
2014-11-03 23:00:00,231457.99765684
2014-11-06 23:00:00,191927.59458478
2014-11-09 23:00:00,207391.25106013
2014-11-12 23:00:00,391609.72388396
2014-11-15 23:00:00,183413.11393084
2014-11-18 23:00:00,150753.97176241
2014-11-21 23:00:00,124621.52915119
2014-11-24 23:00:00,214054.22311567
2014-11-27 23:00:00,481574.67641489
2014-11-30 23:00:00,183801.03019048
2014-12-03 23:00:00,344445.76770582
2014-12-06 23:00:00,134383.78930075
2014-12-09 23:00:00,175863.8060934
2014-12-12 23:00:00,154298.5236691
2014-12-15 23:00:00,224386.38076536
2014-12-18 23:00:00,201151.11277847
2014-12-21 23:00:00,236185.08393387
2014-12-24 23:00:00,115301.8922329
2014-12-27 23:00:00,104566.20472016
2014-12-30 23:00:00,179092.68028857
2015-01-02 23:00:00,285476.1716487
2015-01-05 23:00:00,294497.54372138
2015-01-08 23:00:00,241529.31420645
2015-01-11 23:00:00,210387.62499904
2015-01-14 23:00:00,337588.92364969
2015-01-17 23:00:00,181955.51452212
2015-01-20 23:00:00,479047.590728
2015-01-23 23:00:00,191049.15769784
2015-01-26 23:00:00,298888.88759543
2015-01-29 23:00:00,244216.00456595
2015-02-01 23:00:00,184364.77164613
2015-02-04 23:00:00,247968.84149607
2015-02-07 23:00:00,158058.97425252
2015-02-10 23:00:00,206641.77442247
2015-02-13 23:00:00,193070.70696469
2015-02-16 23:00:00,188282.87703112
2015-02-19 23:00:00,180708.40583484
2015-02-22 23:00:00,183441.68241954
2015-02-25 23:00:00,160401.96257893
2015-02-28 23:00:00,142798.43442545
2015-03-03 23:00:00,250649.78534928
2015-03-06 23:00:00,253079.8441344
2015-03-10 00:00:00,305980.7845537
2015-03-13 00:00:00,202787.74814143
2015-03-16 00:00:00,160588.82629257
2015-03-19 00:00:00,244546.57239646
2015-03-22 00:00:00,106400.95569525
2015-03-25 00:00:00,233596.05788877
2015-03-28 00:00:00,125743.52289773
2015-03-31 00:00:00,204049.18107243
2015-04-03 00:00:00,171010.38818365
2015-04-06 00:00:00,153222.58253906
2015-04-09 00:00:00,212886.84868677
2015-04-12 00:00:00,109151.48464474
2015-04-15 00:00:00,222830.56962067
2015-04-18 00:00:00,159282.92142703
2015-04-21 00:00:00,219970.14485222
2015-04-24 00:00:00,199014.58767932
2015-04-27 00:00:00,278651.83432174
2015-04-30 00:00:00,233790.84157048
2015-05-03 00:00:00,173445.04377256
2015-05-06 00:00:00,221544.67626519
2015-05-09 00:00:00,156135.86804052
2015-05-12 00:00:00,215335.287348
2015-05-15 00:00:00,191818.00255881
2015-05-18 00:00:00,194600.53884054
2015-05-21 00:00:00,179769.4103816
2015-05-24 00:00:00,120198.31489406
2015-05-27 00:00:00,217206.86391884
2015-05-30 00:00:00,190481.62282286
2015-06-02 00:00:00,256222.76064755
2015-06-05 00:00:00,240038.8263035
2015-06-08 00:00:00,266452.57768331
2015-06-11 00:00:00,253210.2014607
2015-06-14 00:00:00,201354.57566834
2015-06-17 00:00:00,411475.94240052
2015-06-20 00:00:00,184579.09567714
2015-06-23 00:00:00,225122.96043642
2015-06-26 00:00:00,258105.06456685
2015-06-29 00:00:00,283233.82405788
2015-07-02 00:00:00,287151.5997476
2015-07-05 00:00:00,323689.04946259
2015-07-08 00:00:00,275319.28683318
2015-07-11 00:00:00,234825.05682691
2015-07-14 00:00:00,238746.23389414
2015-07-17 00:00:00,246140.0389528
2015-07-20 00:00:00,205494.75240175
2015-07-23 00:00:00,206320.94878373
2015-07-26 00:00:00,142510.88171681
2015-07-29 00:00:00,245291.86689199
2015-08-01 00:00:00,189487.02654216
2015-08-04 00:00:00,244590.57681949
2015-08-07 00:00:00,217916.84925054
2015-08-10 00:00:00,273513.20285104
2015-08-13 00:00:00,306323.03722441
2015-08-16 00:00:00,245407.11671351
2015-08-19 00:00:00,411274.60425803
2015-08-22 00:00:00,269957.02233099
2015-08-25 00:00:00,469416.85701102
2015-08-28 00:00:00,362617.658973
2015-08-31 00:00:00,334287.50263151
2015-09-03 00:00:00,274249.79040576
2015-09-06 00:00:00,279973.86741221
2015-09-09 00:00:00,328036.43287174
2015-09-12 00:00:00,146359.54722157
2015-09-15 00:00:00,272399.66363096
2015-09-18 00:00:00,331877.96726311
2015-09-21 00:00:00,370359.14163917
2015-09-24 00:00:00,291785.81421388
2015-09-27 00:00:00,167177.86346634
2015-09-30 00:00:00,340660.20213622
2015-10-03 00:00:00,182930.99399692
2015-10-06 00:00:00,326517.55742856
2015-10-09 00:00:00,290773.09475946
2015-10-12 00:00:00,286077.60083294
2015-10-15 00:00:00,359648.29763185
2015-10-18 00:00:00,218254.61888013
2015-10-21 00:00:00,345602.7630727
2015-10-24 00:00:00,278732.72817596
2015-10-27 00:00:00,421177.27133246
2015-10-30 00:00:00,566470.50127734
2015-11-01 23:00:00,568573.58886021
2015-11-04 23:00:00,749873.20607039
2015-11-07 23:00:00,308372.21400451
2015-11-10 23:00:00,634846.16244294
2015-11-13 23:00:00,498521.12475498
2015-11-16 23:00:00,478077.1834147
2015-11-19 23:00:00,411522.41221077
2015-11-22 23:00:00,305536.36381915
2015-11-25 23:00:00,473337.62917889
2015-11-28 23:00:00,251185.42890249
2015-12-01 23:00:00,532344.78286358
2015-12-04 23:00:00,616725.60215759
2015-12-07 23:00:00,510829.76204477
2015-12-10 23:00:00,495639.81698543
